SNo,Date,Country,RegionCode,RegionName,Latitude,Longitude,HospitalizedPatients,IntensiveCarePatients,TotalHospitalizedPatients,HomeConfinement,CurrentPositiveCases,NewPositiveCases,Recovered,Deaths,TotalPositiveCases,TestsPerformed,Recovery Rate,Death Rate
430,3/15/2020 17:00,ITA,11,Marche,43.61675973,13.5188753,521,98,619,468,1087,224,0,46,1133,2946,0,10
451,3/16/2020 17:00,ITA,11,Marche,43.61675973,13.5188753,528,110,638,547,1185,98,0,57,1242,3225,0,11
472,3/17/2020 17:00,ITA,11,Marche,43.61675973,13.5188753,599,109,708,594,1302,117,0,69,1371,3225,0,12
493,3/18/2020 17:00,ITA,11,Marche,43.61675973,13.5188753,638,119,757,719,1476,174,0,92,1568,4109,0,23
514,3/19/2020 17:00,ITA,11,Marche,43.61675973,13.5188753,656,141,797,825,1622,146,0,115,1737,4512,0,23
535,3/20/2020 17:00,ITA,11,Marche,43.61675973,13.5188753,704,138,842,1002,1844,222,0,137,1981,5170,0,22
11,2/24/2020 18:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,0,0
32,2/25/2020 18:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,0,0
53,2/26/2020 18:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,0,0
74,2/27/2020 18:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,0,0
95,2/28/2020 18:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,0,0
116,2/29/2020 17:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,0,0
137,3/1/2020 17:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,6,0,0
158,3/2/2020 18:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,13,0,0
179,3/3/2020 18:00,ITA,14,Molise,41.55774754,14.65916051,3,0,3,0,3,3,0,0,3,13,0,0
200,3/4/2020 17:00,ITA,14,Molise,41.55774754,14.65916051,3,0,3,0,3,0,0,0,3,19,0,0
221,3/5/2020 17:00,ITA,14,Molise,41.55774754,14.65916051,4,0,4,3,7,4,0,0,7,24,0,0
242,3/6/2020 17:00,ITA,14,Molise,41.55774754,14.65916051,3,2,5,7,12,5,0,0,12,104,0,0
263,3/7/2020 18:00,ITA,14,Molise,41.55774754,14.65916051,3,2,5,9,14,2,0,0,14,112,0,0
284,3/8/2020 18:00,ITA,14,Molise,41.55774754,14.65916051,4,2,6,8,14,0,0,0,14,116,0,0
305,3/9/2020 18:00,ITA,14,Molise,41.55774754,14.65916051,4,2,6,8,14,0,0,0,14,212,0,0
326,3/10/2020 18:00,ITA,14,Molise,41.55774754,14.65916051,3,3,6,9,15,1,0,0,15,225,0,0
347,3/11/2020 17:00,ITA,14,Molise,41.55774754,14.65916051,4,3,7,9,16,1,0,0,16,233,0,0
368,3/12/2020 17:00,ITA,14,Molise,41.55774754,14.65916051,4,3,7,9,16,0,0,0,16,238,0,0
389,3/13/2020 17:00,ITA,14,Molise,41.55774754,14.65916051,5,3,8,9,17,1,0,0,17,243,0,0
410,3/14/2020 17:00,ITA,14,Molise,41.55774754,14.65916051,5,3,8,9,17,0,0,0,17,247,0,0
431,3/15/2020 17:00,ITA,14,Molise,41.55774754,14.65916051,3,4,7,10,17,0,0,0,17,248,0,0
452,3/16/2020 17:00,ITA,14,Molise,41.55774754,14.65916051,3,5,8,7,15,-2,5,1,21,253,5,1
473,3/17/2020 17:00,ITA,14,Molise,41.55774754,14.65916051,7,5,12,7,19,4,5,1,25,301,0,0
494,3/18/2020 17:00,ITA,14,Molise,41.55774754,14.65916051,7,6,13,8,21,2,6,1,28,361,1,0
515,3/19/2020 17:00,ITA,14,Molise,41.55774754,14.65916051,19,6,25,13,38,17,6,2,46,426,0,1
536,3/20/2020 17:00,ITA,14,Molise,41.55774754,14.65916051,20,6,26,13,39,1,6,5,50,426,0,3
2,2/24/2020 18:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,0,0,0,0,0,0,0,0,0,1,0,0
23,2/25/2020 18:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,1,0,0,1,1,0,0
44,2/26/2020 18:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,0,0,1,1,0,0
65,2/27/2020 18:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,0,0,1,2,0,0
86,2/28/2020 18:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,0,0,1,2,0,0
107,2/29/2020 17:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,0,0,1,16,0,0
128,3/1/2020 17:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,0,0,1,20,0,0
149,3/2/2020 18:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,0,0,1,20,0,0
170,3/3/2020 18:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,0,0,1,20,0,0
191,3/4/2020 17:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,0,0,1,20,0,0
212,3/5/2020 17:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,0,0,1,20,0,0
233,3/6/2020 17:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,4,0,4,0,4,3,0,0,4,36,0,0
254,3/7/2020 18:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,8,0,8,1,9,5,0,0,9,36,0,0
275,3/8/2020 18:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,8,0,8,1,9,0,0,0,9,36,0,0
296,3/9/2020 18:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,8,0,8,1,9,0,0,0,9,36,0,0
317,3/10/2020 18:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,17,1,18,20,38,29,0,0,38,36,0,0
338,3/11/2020 17:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,8,4,12,63,75,37,0,0,75,75,0,0
359,3/12/2020 17:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,21,4,25,78,103,28,0,1,104,607,0,1
380,3/13/2020 17:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,20,5,25,98,123,20,0,2,125,811,0,1
401,3/14/2020 17:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,26,7,33,137,170,47,0,3,173,1135,0,1
422,3/15/2020 17:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,50,4,54,145,199,29,0,5,204,1497,0,2
443,3/16/2020 17:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,53,11,64,171,235,36,0,6,241,1740,0,1
464,3/17/2020 17:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,71,11,82,200,282,47,1,8,291,2149,1,2
485,3/18/2020 17:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,79,18,97,269,366,84,1,9,376,2844,0,1
506,3/19/2020 17:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,87,18,105,316,421,55,1,14,436,3568,0,5
527,3/20/2020 17:00,ITA,4,P.A. Bolzano,46.49933453,11.35662422,99,24,123,407,530,109,1,17,548,4433,0,3
17,2/24/2020 18:00,ITA,4,P.A. Trento,46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,3,0,0
38,2/25/2020 18:00,ITA,4,P.A. Trento,46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,3,0,0
59,2/26/2020 18:00,ITA,4,P.A. Trento,46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,3,0,0
80,2/27/2020 18:00,ITA,4,P.A. Trento,46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,32,0,0
101,2/28/2020 18:00,ITA,4,P.A. Trento,46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,32,0,0
122,2/29/2020 17:00,ITA,4,P.A. Trento,46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,43,0,0
143,3/1/2020 17:00,ITA,4,P.A. Trento,46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,122,0,0
164,3/2/2020 18:00,ITA,4,P.A. Trento,46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,122,0,0
185,3/3/2020 18:00,ITA,4,P.A. Trento,46.06893511,11.12123097,1,0,1,3,4,4,0,0,4,122,0,0
206,3/4/2020 17:00,ITA,4,P.A. Trento,46.06893511,11.12123097,1,0,1,4,5,1,0,0,5,122,0,0
227,3/5/2020 17:00,ITA,4,P.A. Trento,46.06893511,11.12123097,2,0,2,5,7,2,0,0,7,122,0,0
248,3/6/2020 17:00,ITA,4,P.A. Trento,46.06893511,11.12123097,4,0,4,6,10,3,0,0,10,122,0,0
269,3/7/2020 18:00,ITA,4,P.A. Trento,46.06893511,11.12123097,6,1,7,7,14,4,0,0,14,194,0,0
290,3/8/2020 18:00,ITA,4,P.A. Trento,46.06893511,11.12123097,7,2,9,14,23,9,0,0,23,228,0,0
311,3/9/2020 18:00,ITA,4,P.A. Trento,46.06893511,11.12123097,10,2,12,21,33,10,0,0,33,267,0,0
332,3/10/2020 18:00,ITA,4,P.A. Trento,46.06893511,11.12123097,19,3,22,28,50,17,2,0,52,399,2,0
353,3/11/2020 17:00,ITA,4,P.A. Trento,46.06893511,11.12123097,28,4,32,42,74,24,3,0,77,527,1,0
374,3/12/2020 17:00,ITA,4,P.A. Trento,46.06893511,11.12123097,43,5,48,54,102,28,4,1,107,593,1,1
395,3/13/2020 17:00,ITA,4,P.A. Trento,46.06893511,11.12123097,58,6,64,93,157,55,4,2,163,846,0,1
416,3/14/2020 17:00,ITA,4,P.A. Trento,46.06893511,11.12123097,68,12,80,119,199,42,5,2,206,1006,1,0
437,3/15/2020 17:00,ITA,4,P.A. Trento,46.06893511,11.12123097,73,19,92,275,367,168,5,6,378,1006,0,4
458,3/16/2020 17:00,ITA,4,P.A. Trento,46.06893511,11.12123097,73,19,92,275,367,0,5,6,378,1006,0,0
479,3/17/2020 17:00,ITA,4,P.A. Trento,46.06893511,11.12123097,107,22,129,239,368,1,10,7,385,1727,5,1
500,3/18/2020 17:00,ITA,4,P.A. Trento,46.06893511,11.12123097,141,22,163,273,436,68,12,7,455,2187,2,0
521,3/19/2020 17:00,ITA,4,P.A. Trento,46.06893511,11.12123097,169,30,199,292,491,55,20,12,523,2203,8,5
542,3/20/2020 17:00,ITA,4,P.A. Trento,46.06893511,11.12123097,198,34,232,368,600,109,29,13,642,2656,9,1
12,2/24/2020 18:00,ITA,1,Piemonte,45.0732745,7.680687483,2,0,2,1,3,3,0,0,3,141,0,0
33,2/25/2020 18:00,ITA,1,Piemonte,45.0732745,7.680687483,2,0,2,1,3,0,0,0,3,141,0,0
54,2/26/2020 18:00,ITA,1,Piemonte,45.0732745,7.680687483,2,0,2,1,3,0,0,0,3,156,0,0
75,2/27/2020 18:00,ITA,1,Piemonte,45.0732745,7.680687483,2,0,2,0,2,-1,0,0,2,156,0,0
96,2/28/2020 18:00,ITA,1,Piemonte,45.0732745,7.680687483,7,0,7,4,11,9,0,0,11,227,0,0
117,2/29/2020 17:00,ITA,1,Piemonte,45.0732745,7.680687483,7,0,7,4,11,0,0,0,11,308,0,0
138,3/1/2020 17:00,ITA,1,Piemonte,45.0732745,7.680687483,11,2,13,36,49,38,0,0,49,362,0,0
159,3/2/2020 18:00,ITA,1,Piemonte,45.0732745,7.680687483,12,2,14,37,51,2,0,0,51,434,0,0
180,3/3/2020 18:00,ITA,1,Piemonte,45.0732745,7.680687483,13,3,16,40,56,5,0,0,56,458,0,0
201,3/4/2020 17:00,ITA,1,Piemonte,45.0732745,7.680687483,26,13,39,43,82,26,0,0,82,543,0,0
222,3/5/2020 17:00,ITA,1,Piemonte,45.0732745,7.680687483,43,17,60,46,106,24,0,2,108,543,0,2
243,3/6/2020 17:00,ITA,1,Piemonte,45.0732745,7.680687483,57,30,87,52,139,33,0,4,143,793,0,2
264,3/7/2020 18:00,ITA,1,Piemonte,45.0732745,7.680687483,110,38,148,54,202,63,0,5,207,1046,0,1
285,3/8/2020 18:00,ITA,1,Piemonte,45.0732745,7.680687483,245,45,290,65,355,153,0,5,360,1636,0,0
306,3/9/2020 18:00,ITA,1,Piemonte,45.0732745,7.680687483,222,50,272,65,337,-18,0,13,350,1681,0,8
327,3/10/2020 18:00,ITA,1,Piemonte,45.0732745,7.680687483,306,66,372,64,436,99,0,17,453,2374,0,4
348,3/11/2020 17:00,ITA,1,Piemonte,45.0732745,7.680687483,319,75,394,86,480,44,0,21,501,2431,0,4
369,3/12/2020 17:00,ITA,1,Piemonte,45.0732745,7.680687483,368,97,465,89,554,74,0,26,580,2879,0,5
390,3/13/2020 17:00,ITA,1,Piemonte,45.0732745,7.680687483,556,135,691,103,794,240,0,46,840,3105,0,20
411,3/14/2020 17:00,ITA,1,Piemonte,45.0732745,7.680687483,538,150,688,126,814,20,0,59,873,3680,0,13
432,3/15/2020 17:00,ITA,1,Piemonte,45.0732745,7.680687483,726,171,897,133,1030,216,0,81,1111,4375,0,22
453,3/16/2020 17:00,ITA,1,Piemonte,45.0732745,7.680687483,1045,186,1231,174,1405,375,0,111,1516,5588,0,30
474,3/17/2020 17:00,ITA,1,Piemonte,45.0732745,7.680687483,1378,206,1584,180,1764,359,0,133,1897,6543,0,22
495,3/18/2020 17:00,ITA,1,Piemonte,45.0732745,7.680687483,1780,227,2007,180,2187,423,0,154,2341,7516,0,21
516,3/19/2020 17:00,ITA,1,Piemonte,45.0732745,7.680687483,2279,257,2536,218,2754,567,3,175,2932,8853,3,21
537,3/20/2020 17:00,ITA,1,Piemonte,45.0732745,7.680687483,1541,280,1821,1423,3244,490,8,209,3461,9975,5,34
13,2/24/2020 18:00,ITA,16,Puglia,41.12559576,16.86736689,0,0,0,0,0,0,0,0,0,0,0,0
34,2/25/2020 18:00,ITA,16,Puglia,41.12559576,16.86736689,0,0,0,0,0,0,0,0,0,0,0,0
55,2/26/2020 18:00,ITA,16,Puglia,41.12559576,16.86736689,0,0,0,0,0,0,0,0,0,0,0,0
76,2/27/2020 18:00,ITA,16,Puglia,41.12559576,16.86736689,1,0,1,0,1,1,0,0,1,0,0,0
97,2/28/2020 18:00,ITA,16,Puglia,41.12559576,16.86736689,1,0,1,2,3,2,0,0,3,242,0,0
118,2/29/2020 17:00,ITA,16,Puglia,41.12559576,16.86736689,1,0,1,2,3,0,0,0,3,252,0,0
139,3/1/2020 17:00,ITA,16,Puglia,41.12559576,16.86736689,1,0,1,2,3,0,0,0,3,262,0,0
160,3/2/2020 18:00,ITA,16,Puglia,41.12559576,16.86736689,2,0,2,2,4,1,0,0,4,278,0,0
181,3/3/2020 18:00,ITA,16,Puglia,41.12559576,16.86736689,2,0,2,4,6,2,0,0,6,298,0,0
202,3/4/2020 17:00,ITA,16,Puglia,41.12559576,16.86736689,4,0,4,3,7,1,1,1,9,322,1,1
223,3/5/2020 17:00,ITA,16,Puglia,41.12559576,16.86736689,5,1,6,6,12,5,1,1,14,359,0,0
244,3/6/2020 17:00,ITA,16,Puglia,41.12559576,16.86736689,5,1,6,9,15,3,1,1,17,395,0,0
265,3/7/2020 18:00,ITA,16,Puglia,41.12559576,16.86736689,9,2,11,12,23,8,1,2,26,395,0,1
286,3/8/2020 18:00,ITA,16,Puglia,41.12559576,16.86736689,17,3,20,16,36,13,1,3,40,627,0,1
307,3/9/2020 18:00,ITA,16,Puglia,41.12559576,16.86736689,20,6,26,20,46,10,1,3,50,685,0,0
328,3/10/2020 18:00,ITA,16,Puglia,41.12559576,16.86736689,28,6,34,21,55,9,1,3,59,747,0,0
349,3/11/2020 17:00,ITA,16,Puglia,41.12559576,16.86736689,38,4,42,29,71,16,1,5,77,909,0,2
370,3/12/2020 17:00,ITA,16,Puglia,41.12559576,16.86736689,58,2,60,38,98,27,1,5,104,1269,0,0
391,3/13/2020 17:00,ITA,16,Puglia,41.12559576,16.86736689,77,2,79,42,121,23,3,5,129,1449,2,0
412,3/14/2020 17:00,ITA,16,Puglia,41.12559576,16.86736689,91,6,97,59,156,35,2,8,166,1681,-1,3
433,3/15/2020 17:00,ITA,16,Puglia,41.12559576,16.86736689,116,6,122,90,212,56,2,16,230,2017,0,8
454,3/16/2020 17:00,ITA,16,Puglia,41.12559576,16.86736689,116,6,122,90,212,0,2,16,230,2017,0,0
475,3/17/2020 17:00,ITA,16,Puglia,41.12559576,16.86736689,155,14,169,151,320,108,2,18,340,3077,0,2
496,3/18/2020 17:00,ITA,16,Puglia,41.12559576,16.86736689,156,30,186,176,362,42,2,19,383,3433,0,1
517,3/19/2020 17:00,ITA,16,Puglia,41.12559576,16.86736689,173,31,204,245,449,87,4,25,478,4046,2,6
538,3/20/2020 17:00,ITA,16,Puglia,41.12559576,16.86736689,191,31,222,329,551,102,4,26,581,4789,0,1
14,2/24/2020 18:00,ITA,20,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,1,0,0
35,2/25/2020 18:00,ITA,20,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,1,0,0
56,2/26/2020 18:00,ITA,20,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,1,0,0
77,2/27/2020 18:00,ITA,20,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,1,0,0
98,2/28/2020 18:00,ITA,20,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,1,0,0
119,2/29/2020 17:00,ITA,20,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,1,0,0
140,3/1/2020 17:00,ITA,20,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,29,0,0
161,3/2/2020 18:00,ITA,20,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,29,0,0
182,3/3/2020 18:00,ITA,20,Sardegna,39.21531192,9.110616306,1,0,1,0,1,1,0,0,1,29,0,0
203,3/4/2020 17:00,ITA,20,Sardegna,39.21531192,9.110616306,1,0,1,1,2,1,0,0,2,42,0,0
224,3/5/2020 17:00,ITA,20,Sardegna,39.21531192,9.110616306,2,0,2,0,2,0,0,0,2,50,0,0
245,3/6/2020 17:00,ITA,20,Sardegna,39.21531192,9.110616306,2,0,2,3,5,3,0,0,5,99,0,0
266,3/7/2020 18:00,ITA,20,Sardegna,39.21531192,9.110616306,2,0,2,3,5,0,0,0,5,99,0,0
287,3/8/2020 18:00,ITA,20,Sardegna,39.21531192,9.110616306,5,0,5,6,11,6,0,0,11,149,0,0
308,3/9/2020 18:00,ITA,20,Sardegna,39.21531192,9.110616306,8,0,8,11,19,8,0,0,19,185,0,0
329,3/10/2020 18:00,ITA,20,Sardegna,39.21531192,9.110616306,9,0,9,11,20,1,0,0,20,204,0,0
350,3/11/2020 17:00,ITA,20,Sardegna,39.21531192,9.110616306,10,0,10,27,37,17,0,0,37,283,0,0
371,3/12/2020 17:00,ITA,20,Sardegna,39.21531192,9.110616306,12,0,12,27,39,2,0,0,39,302,0,0
392,3/13/2020 17:00,ITA,20,Sardegna,39.21531192,9.110616306,12,0,12,31,43,4,0,0,43,504,0,0
413,3/14/2020 17:00,ITA,20,Sardegna,39.21531192,9.110616306,14,0,14,33,47,4,0,0,47,530,0,0
434,3/15/2020 17:00,ITA,20,Sardegna,39.21531192,9.110616306,16,0,16,59,75,28,0,2,77,613,0,2
455,3/16/2020 17:00,ITA,20,Sardegna,39.21531192,9.110616306,39,0,39,66,105,30,0,2,107,797,0,0
476,3/17/2020 17:00,ITA,20,Sardegna,39.21531192,9.110616306,36,4,40,75,115,10,0,2,117,1003,0,0
497,3/18/2020 17:00,ITA,20,Sardegna,39.21531192,9.110616306,42,7,49,83,132,17,0,2,134,1135,0,0
518,3/19/2020 17:00,ITA,20,Sardegna,39.21531192,9.110616306,43,9,52,152,204,72,0,2,206,1334,0,0
539,3/20/2020 17:00,ITA,20,Sardegna,39.21531192,9.110616306,56,15,71,217,288,84,3,2,293,1912,3,0
15,2/24/2020 18:00,ITA,19,Sicilia,38.11569725,13.3623567,0,0,0,0,0,0,0,0,0,5,0,0
36,2/25/2020 18:00,ITA,19,Sicilia,38.11569725,13.3623567,1,0,2,2,3,3,0,0,3,5,0,0
57,2/26/2020 18:00,ITA,19,Sicilia,38.11569725,13.3623567,1,0,1,2,3,0,0,0,3,5,0,0
78,2/27/2020 18:00,ITA,19,Sicilia,38.11569725,13.3623567,1,0,1,1,2,-1,2,0,4,5,2,0
99,2/28/2020 18:00,ITA,19,Sicilia,38.11569725,13.3623567,1,0,1,1,2,0,2,0,4,5,0,0
120,2/29/2020 17:00,ITA,19,Sicilia,38.11569725,13.3623567,1,0,1,1,2,0,2,0,4,6,0,0
141,3/1/2020 17:00,ITA,19,Sicilia,38.11569725,13.3623567,1,0,1,6,7,5,2,0,9,291,0,0
162,3/2/2020 18:00,ITA,19,Sicilia,38.11569725,13.3623567,2,0,2,3,5,-2,2,0,7,307,0,0
183,3/3/2020 18:00,ITA,19,Sicilia,38.11569725,13.3623567,2,0,2,3,5,0,2,0,7,307,0,0
204,3/4/2020 17:00,ITA,19,Sicilia,38.11569725,13.3623567,5,0,5,11,16,11,2,0,18,367,0,0
225,3/5/2020 17:00,ITA,19,Sicilia,38.11569725,13.3623567,5,0,5,11,16,0,2,0,18,367,0,0
246,3/6/2020 17:00,ITA,19,Sicilia,38.11569725,13.3623567,7,0,7,15,22,6,2,0,24,367,0,0
267,3/7/2020 18:00,ITA,19,Sicilia,38.11569725,13.3623567,8,0,8,25,33,11,2,0,35,643,0,0
288,3/8/2020 18:00,ITA,19,Sicilia,38.11569725,13.3623567,18,0,18,33,51,18,2,0,53,791,0,0
309,3/9/2020 18:00,ITA,19,Sicilia,38.11569725,13.3623567,19,0,19,33,52,1,2,0,54,836,0,0
330,3/10/2020 18:00,ITA,19,Sicilia,38.11569725,13.3623567,17,2,19,41,60,8,2,0,62,955,0,0
351,3/11/2020 17:00,ITA,19,Sicilia,38.11569725,13.3623567,23,1,24,57,81,21,2,0,83,1194,0,0
372,3/12/2020 17:00,ITA,19,Sicilia,38.11569725,13.3623567,28,5,33,78,111,30,2,2,115,1477,0,2
393,3/13/2020 17:00,ITA,19,Sicilia,38.11569725,13.3623567,37,7,44,82,126,15,2,2,130,1950,0,0
414,3/14/2020 17:00,ITA,19,Sicilia,38.11569725,13.3623567,42,11,53,97,150,24,4,2,156,2100,2,0
435,3/15/2020 17:00,ITA,19,Sicilia,38.11569725,13.3623567,56,15,71,108,179,29,7,2,188,2452,3,0
456,3/16/2020 17:00,ITA,19,Sicilia,38.11569725,13.3623567,75,20,95,108,203,24,8,2,213,2653,1,0
477,3/17/2020 17:00,ITA,19,Sicilia,38.11569725,13.3623567,86,28,114,112,226,23,8,3,237,2916,0,1
498,3/18/2020 17:00,ITA,19,Sicilia,38.11569725,13.3623567,100,29,129,138,267,41,12,3,282,3294,4,0
519,3/19/2020 17:00,ITA,19,Sicilia,38.11569725,13.3623567,143,36,179,142,321,54,15,4,340,3961,3,1
540,3/20/2020 17:00,ITA,19,Sicilia,38.11569725,13.3623567,168,42,210,169,379,58,25,4,408,4468,10,0
16,2/24/2020 18:00,ITA,9,Toscana,43.76923077,11.25588885,0,0,0,0,0,0,0,0,0,140,0,0
37,2/25/2020 18:00,ITA,9,Toscana,43.76923077,11.25588885,2,0,2,0,2,2,0,0,2,296,0,0
58,2/26/2020 18:00,ITA,9,Toscana,43.76923077,11.25588885,2,0,2,0,2,0,0,0,2,363,0,0
79,2/27/2020 18:00,ITA,9,Toscana,43.76923077,11.25588885,2,0,2,0,2,0,0,0,2,410,0,0
100,2/28/2020 18:00,ITA,9,Toscana,43.76923077,11.25588885,5,0,5,2,7,5,1,0,8,437,1,0
121,2/29/2020 17:00,ITA,9,Toscana,43.76923077,11.25588885,7,0,7,3,10,3,1,0,11,531,0,0
142,3/1/2020 17:00,ITA,9,Toscana,43.76923077,11.25588885,7,0,7,5,12,2,1,0,13,572,0,0
163,3/2/2020 18:00,ITA,9,Toscana,43.76923077,11.25588885,7,0,7,5,12,0,1,0,13,613,0,0
184,3/3/2020 18:00,ITA,9,Toscana,43.76923077,11.25588885,10,0,10,8,18,6,1,0,19,697,0,0
205,3/4/2020 17:00,ITA,9,Toscana,43.76923077,11.25588885,15,2,17,20,37,19,1,0,38,776,0,0
226,3/5/2020 17:00,ITA,9,Toscana,43.76923077,11.25588885,26,3,29,31,60,23,1,0,61,776,0,0
247,3/6/2020 17:00,ITA,9,Toscana,43.76923077,11.25588885,35,5,40,38,78,18,1,0,79,1097,0,0
268,3/7/2020 18:00,ITA,9,Toscana,43.76923077,11.25588885,54,7,61,51,112,34,1,0,113,1331,0,0
289,3/8/2020 18:00,ITA,9,Toscana,43.76923077,11.25588885,91,7,98,67,165,53,1,0,166,1618,0,0
310,3/9/2020 18:00,ITA,9,Toscana,43.76923077,11.25588885,107,9,116,90,206,41,1,1,208,2018,0,1
331,3/10/2020 18:00,ITA,9,Toscana,43.76923077,11.25588885,91,40,131,129,260,54,3,1,264,2573,2,0
352,3/11/2020 17:00,ITA,9,Toscana,43.76923077,11.25588885,87,54,141,173,314,54,5,1,320,2804,2,0
373,3/12/2020 17:00,ITA,9,Toscana,43.76923077,11.25588885,100,59,159,193,352,38,7,5,364,3165,2,4
394,3/13/2020 17:00,ITA,9,Toscana,43.76923077,11.25588885,134,77,211,244,455,103,10,5,470,4049,3,0
415,3/14/2020 17:00,ITA,9,Toscana,43.76923077,11.25588885,160,87,247,367,614,159,10,6,630,4595,0,1
436,3/15/2020 17:00,ITA,9,Toscana,43.76923077,11.25588885,175,107,282,481,763,149,10,8,781,5132,0,2
457,3/16/2020 17:00,ITA,9,Toscana,43.76923077,11.25588885,175,107,282,559,841,78,11,14,866,5910,1,6
478,3/17/2020 17:00,ITA,9,Toscana,43.76923077,11.25588885,329,143,472,552,1024,183,12,17,1053,6727,1,3
499,3/18/2020 17:00,ITA,9,Toscana,43.76923077,11.25588885,427,160,587,704,1291,267,17,22,1330,7606,5,5
520,3/19/2020 17:00,ITA,9,Toscana,43.76923077,11.25588885,501,178,679,743,1422,131,22,38,1482,8873,5,16
541,3/20/2020 17:00,ITA,9,Toscana,43.76923077,11.25588885,601,189,790,923,1713,291,33,47,1793,10405,11,9
18,2/24/2020 18:00,ITA,10,Umbria,43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,0,0,0
39,2/25/2020 18:00,ITA,10,Umbria,43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,8,0,0
60,2/26/2020 18:00,ITA,10,Umbria,43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,8,0,0
81,2/27/2020 18:00,ITA,10,Umbria,43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,8,0,0
102,2/28/2020 18:00,ITA,10,Umbria,43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,8,0,0
123,2/29/2020 17:00,ITA,10,Umbria,43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,31,0,0
144,3/1/2020 17:00,ITA,10,Umbria,43.10675841,12.38824698,0,0,0,2,2,2,0,0,2,35,0,0
165,3/2/2020 18:00,ITA,10,Umbria,43.10675841,12.38824698,0,0,0,2,2,0,0,0,2,35,0,0
186,3/3/2020 18:00,ITA,10,Umbria,43.10675841,12.38824698,1,1,2,6,8,6,0,0,8,45,0,0
207,3/4/2020 17:00,ITA,10,Umbria,43.10675841,12.38824698,1,1,2,7,9,1,0,0,9,58,0,0
